"If ""Months"" is selected, a fixed amount will be booked as deferred revenue or expense for each month irrespective of the number of days in a month. It will be prorated if deferred revenue or expense is not booked for an entire month","إذا تم تحديد ""الأشهر""، فسيتم حجز مبلغ ثابت كإيرادات أو مصروفات مؤجلة لكل شهر بغض النظر عن عدد الأيام في الشهر. سيتم تقسيمةا إذا لم يتم حجز الإيرادات أو المصاريف المؤجلة لمدة شهر كامل",
"If <b>Enabled</b> - Reconciliation happens on the <b>Advance Payment posting date</b><br>
If <b>Disabled</b> - Reconciliation happens on oldest of 2 Dates: <b>Invoice Date</b> or the <b>Advance Payment posting date</b><br>
","إذا كان <b>ممكنًا</b> - تحدث التسوية في <b>تاريخ ترحيل الدفعة المقدمة</b><br>
إذا كان <b>معطلاً</b> - تحدث التسوية في أقدم تاريخين: <b>تاريخ الفاتورة</b> أو <b>تاريخ ترحيل الدفعة المقدمة</b><br>
",
"If Auto Opt In is checked, then the customers will be automatically linked with the concerned Loyalty Program (on save)",إذا تم تحديد الاشتراك التلقائي، فسيتم ربط العملاء تلقائيًا ببرنامج الولاء المعني (عند الحفظ),
If Income or Expense,إذا دخل أو مصروف,
"If an operation is divided into sub operations, they can be added here.",إذا تم تقسيم العملية إلى عمليات فرعية، يمكن إضافتها هنا.,
"If blank, parent Warehouse Account or company default will be considered in transactions",إذا كان فارغًا، فسيتم اعتبار حساب المستودع الأصلي أو حساب الشركة الافتراضي في المعاملات,
"If checked, Rejected Quantity will be included while making Purchase Invoice from Purchase Receipt.",إذا تم تحديده، سيتم تضمين الكمية المرفوضة عند إنشاء فاتورة شراء من إيصال الشراء.,
"If checked, Stock will be reserved on <b>Submit</b>",إذا تم تحديده، سيتم حجز المخزون عند <b>الإرسال</b>,
"If checked, picked qty won't automatically be fulfilled on submit of pick list.",إذا تم تحديده، لن يتم استيفاء الكمية المنتقاة تلقائيًا عند إرسال قائمة الانتقاء.,
"If checked, the tax amount will be considered as already included in the Paid Amount in Payment Entry",إذا تم تحديده، سيتم اعتبار مبلغ الضريبة مضمنًا بالفعل في المبلغ المدفوع في قيد الدفع,
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount",إذا كانت محددة، سيتم النظر في مقدار ضريبة كمدرجة بالفعل في قيم الطباعة / مقدار الطباعة,
"If checked, we will create demo data for you to explore the system. This demo data can be erased later.",إذا تم تحديده، سنقوم بإنشاء بيانات عرض توضيحي لك لاستكشاف النظام. يمكن مسح بيانات العرض التوضيحي هذه لاحقًا.,
If different than customer address,إذا كان مختلفا عن عنوان العميل,
"If disable, 'In Words' field will not be visible in any transaction",إذا تم تعطيله، فلن يكون الحقل 'بالحروف' مرئيا في أي معاملة,
"If disable, 'Rounded Total' field will not be visible in any transaction","إذا تم تعطيله، فلن يكون الحقل ""أجمالي تقريب"" مرئيا في أي معاملة",
If enabled then system won't apply the pricing rule on the delivery note which will be create from the pick list,إذا تم تمكينه، فلن يطبق النظام قاعدة التسعير على إذن التسليم الذي سيتم إنشاؤه من قائمة الانتقاء,
If enabled then system won't override the picked qty / batches / serial numbers / warehouse.,في حال تفعيل هذا الخيار، لن يقوم النظام بتجاوز الكمية المختارة / الدفعات / الأرقام التسلسلية / المستودع.,
"If enabled, a print of this document will be attached to each email",إذا تم تمكينه، سيتم إرفاق نسخة مطبوعة من هذا المستند بكل بريد إلكتروني,
"If enabled, additional ledger entries will be made for discounts in a separate Discount Account",إذا تم تمكينه، سيتم إجراء قيود دفتر أستاذ إضافية للخصومات في حساب خصم منفصل,
"If enabled, all files attached to this document will be attached to each email",إذا تم تمكينه، سيتم إرفاق جميع الملفات المرفقة بهذا المستند بكل بريد إلكتروني,
"If enabled, do not update serial / batch values in the stock transactions on creation of auto Serial 
 / Batch Bundle. ",إذا تم تمكينه، لا تقم بتحديث قيم الرقم التسلسلي / الدفعة في معاملات المخزون عند إنشاء حزمة الرقم التسلسلي / الدفعة التلقائية. ,
"If enabled, formula for <b>Qty to Order</b>: <br>
Required Qty (BOM) - <a href=""https://docs.frappe.io/erpnext/user/manual/en/projected-quantity"">Projected Qty</a>. <br> This helps avoid over-ordering.","إذا تم تمكينه، فإن صيغة <b>الكمية للطلب</b>: <br>
الكمية المطلوبة (قائمة المواد) - <a href=""https://docs.frappe.io/erpnext/user/manual/en/projected-quantity"">الكمية المتوقعة</a>. <br> يساعد هذا في تجنب الطلب الزائد.",
"If enabled, formula for <b>Required Qty</b>: <br>
Required Qty (BOM) - <a href=""https://docs.frappe.io/erpnext/user/manual/en/projected-quantity"">Projected Qty</a>. <br> This helps avoid over-ordering.","إذا تم تمكينه، فإن صيغة <b>الكمية المطلوبة</b>: <br>
الكمية المطلوبة (قائمة المواد) - <a href=""https://docs.frappe.io/erpnext/user/manual/en/projected-quantity"">الكمية المتوقعة</a>. <br> يساعد هذا في تجنب الطلب الزائد.",
"If enabled, ledger entries will be posted for change amount in POS transactions",إذا تم تمكينه، سيتم ترحيل قيود دفتر الأستاذ لمبلغ التغيير في معاملات نقاط البيع,
"If enabled, the consolidated invoices will have rounded total disabled",إذا تم تمكينه، سيتم تعطيل الإجمالي المقرب في الفواتير الموحدة,
"If enabled, the item rate won't adjust to the valuation rate during internal transfers, but accounting will still use the valuation rate.",إذا تم تمكينه، لن يتم تعديل سعر الصنف إلى سعر التقييم أثناء التحويلات الداخلية، ولكن ستظل المحاسبة تستخدم سعر التقييم.,
"If enabled, the system will allow selecting UOMs in sales and purchase transactions only if the conversion rate is set in the item master.",إذا تم تمكينه، سيسمح النظام بتحديد وحدات القياس في معاملات البيع والشراء فقط إذا تم تعيين معدل التحويل في بيانات الصنف الرئيسية.,
"If enabled, the system will generate an accounting entry for materials rejected in the Purchase Receipt.",إذا تم تمكينه، سيقوم النظام بإنشاء قيد محاسبي للمواد المرفوضة في إيصال الشراء.,
"If enabled, the system will use the moving average valuation method to calculate the valuation rate for the batched items and will not consider the individual batch-wise incoming rate.",إذا تم تمكينه، سيستخدم النظام طريقة تقييم المتوسط المتحرك لحساب معدل التقييم للأصناف المجمعة ولن يأخذ في الاعتبار معدل الدخول الفردي حسب الدفعة.,
"If enabled, then system will only validate the pricing rule and not apply automatically. User has to manually set the discount percentage / margin / free items to validate the pricing rule",إذا تم تمكينه، فسيقوم النظام بالتحقق فقط من قاعدة التسعير ولن يطبقها تلقائيًا. يجب على المستخدم تعيين نسبة الخصم / الهامش / الأصناف المجانية يدويًا للتحقق من قاعدة التسعير,
"If enabled, user will be alerted before resetting posting date to current date in relevant transactions",في حال تفعيل هذه الخاصية، سيتم تنبيه المستخدم قبل إعادة تعيين تاريخ النشر إلى التاريخ الحالي في المعاملات ذات الصلة.,
"If item is a variant of another item then description, image, pricing, taxes etc will be set from the template unless explicitly specified",إذا كان البند هو البديل من بند آخر ثم وصف، صورة، والتسعير، والضرائب سيتم تعيين غيرها من القالب، ما لم يذكر صراحة,
